Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1923-0017-AIA,1923,17,,Natural,Biological,Epidemic,Viral disease,,,Anguilla,AIA,Caribbean,Americas,,,,,,,,,,Vaccinated,,,,,1923,1.0,,1923,1.0,,,,,,,,,,,,,5.8349248693479,,,,
1924-0005-ECU,1924,5,,Natural,Geophysical,Earthquake,Ground movement,,,Ecuador,ECU,South America,Americas,Chimborazo,,,,,,,,7.0,Richter,-1.29,-78.52,03:01,,1924,3.0,3.0,1924,3.0,3.0,40.0,,,,,,,,,,,5.8691138822542,,,,
1926-0009-BHS,1926,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Bahamas (the),BHS,Caribbean,Americas,Nassau,,,,,,,,,Kph,,,,,1926,7.0,26.0,1926,7.0,26.0,,,,,,,,,,,,6.0628516220567,,,,
1926-0013-COL,1926,13,,Natural,Hydrological,Landslide,Landslide,,,Colombia,COL,South America,Americas,Pereira,,,,,,,,,,,,,,1926,11.0,5.0,1926,11.0,5.0,100.0,,,,,,,,,,,6.0628516220567,,,,
1926-0012-CUB,1926,12,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,Havana and suburbs,,,,,,,,,Kph,,,,,1926,10.0,20.0,1926,10.0,20.0,600.0,,,,,,,,,,,6.0628516220567,,,,
1928-0024-CAN,1928,24,,Natural,Geophysical,Earthquake,Tsunami,,,Canada,CAN,Northern America,Americas,"Burin Peninsula, Newfoundland",Earthquake,,,,No,No,,7.0,Richter,48.60 N,58.00 W,,,1928,11.0,18.0,1928,11.0,18.0,27.0,,,,,,,,,,,5.8805102198896,,,,
1928-0003-CHL,1928,3,,Natural,Geophysical,Earthquake,Ground movement,,,Chile,CHL,South America,Americas,Talca,,,,,,,,,Richter,35.28 S,71.40 W,,,1928,,,1928,,,220.0,,,,,,,,,,,5.8805102198896,,,,
1928-0015-GLP,1928,15,,Natural,Meteorological,Storm,Tropical cyclone,,Felipe,Guadeloupe,GLP,Caribbean,Americas,,,,,,No,No,,,Kph,,,,,1928,9.0,15.0,1928,9.0,15.0,2000.0,,,,,,,,,,,5.8805102198896,,,,
1929-0003-BHS,1929,3,,Natural,Meteorological,Storm,Tropical cyclone,,,Bahamas (the),BHS,Caribbean,Americas,Nassau,,,,,,,,,Kph,,,,,1929,9.0,26.0,1929,9.0,26.0,,,,,,,,,,,,5.8805102198896,,,,
1930-0024-DMA,1930,24,,Natural,Meteorological,Storm,Tropical cyclone,,,Dominica,DMA,Caribbean,Americas,San Zenon,,,,,,,,,Kph,,,,,1930,9.0,3.0,1930,9.0,3.0,2000.0,,,,,,,,,,,5.7209614929934,,,,
1930-0009-DOM,1930,9,,Natural,Meteorological,Storm,Tropical cyclone,,San Zenon,Dominican Republic (the),DOM,Caribbean,Americas,Santo Domingo,,,,,,,,,Kph,,,,,1930,9.0,3.0,1930,9.0,3.0,2000.0,6000.0,6000.0,,12000.0,,,,,40000.0,699183.0,5.7209614929934,,,,
1931-9014-CAN,1931,9014,,Natural,Climatological,Drought,Drought,,,Canada,CAN,Northern America,Americas,"Prairie provinces, Western Canada",,Heat wave,,,No,No,,,Km2,,,,,1931,1.0,,1940,,,,,25000.0,,25000.0,,,,,,,5.2081262993983,,,,
1931-0009-BLZ,1931,9,,Natural,Meteorological,Storm,Tropical cyclone,,,Belize,BLZ,Central America,Americas,Belize city,,,,,,,,,Kph,,,,,1931,9.0,10.0,1931,9.0,10.0,1500.0,,,,,,,,,7500.0,144006.0,5.2081262993983,,,,
1931-0005-ECU,1931,5,,Natural,Hydrological,Landslide,Landslide,,,Ecuador,ECU,South America,Americas,Huigra,,,,,,,,,,,,,,1931,2.0,14.0,1931,2.0,14.0,190.0,,,,,,,,,,,5.2081262993983,,,,
1931-0010-HND,1931,10,,Natural,Meteorological,Storm,Tropical cyclone,,,Honduras,HND,Central America,Americas,,,,,,,,,,Kph,,,,,1931,9.0,10.0,1931,9.0,10.0,1500.0,,,,,,,,,,,5.2081262993983,,,,
1932-0006-CUB,1932,6,,Natural,Meteorological,Storm,Tropical cyclone,,,Cuba,CUB,Caribbean,Americas,Santa Cruz Del Sur (Camaguey province),,,,,No,No,,,Kph,,,,,1932,11.0,9.0,1932,11.0,9.0,2500.0,,,,,,,,,,,4.6724984305324,,,,
