Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Country,ISO,Region,Continent,Dis Mag Scale,Start Year,Start Month,End Year,End Month,CPI
1923-0017-AIA,1923,17,Natural,Biological,Epidemic,Anguilla,AIA,Caribbean,Americas,Vaccinated,1923,1.0,1923,1.0,5.8349248693479
1924-0005-ECU,1924,5,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1924,3.0,1924,3.0,5.8691138822542
1926-0009-BHS,1926,9,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1926,7.0,1926,7.0,6.0628516220567
1926-0013-COL,1926,13,Natural,Hydrological,Landslide,Colombia,COL,South America,Americas,,1926,11.0,1926,11.0,6.0628516220567
1926-0012-CUB,1926,12,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1926,10.0,1926,10.0,6.0628516220567
1928-0024-CAN,1928,24,Natural,Geophysical,Earthquake,Canada,CAN,Northern America,Americas,Richter,1928,11.0,1928,11.0,5.8805102198896
1928-0003-CHL,1928,3,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1928,,1928,,5.8805102198896
1928-0015-GLP,1928,15,Natural,Meteorological,Storm,Guadeloupe,GLP,Caribbean,Americas,Kph,1928,9.0,1928,9.0,5.8805102198896
1929-0003-BHS,1929,3,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1929,9.0,1929,9.0,5.8805102198896
1930-0024-DMA,1930,24,Natural,Meteorological,Storm,Dominica,DMA,Caribbean,Americas,Kph,1930,9.0,1930,9.0,5.7209614929934
1930-0009-DOM,1930,9,Natural,Meteorological,Storm,Dominican Republic (the),DOM,Caribbean,Americas,Kph,1930,9.0,1930,9.0,5.7209614929934
1931-9014-CAN,1931,9014,Natural,Climatological,Drought,Canada,CAN,Northern America,Americas,Km2,1931,1.0,1940,,5.2081262993983
1931-0009-BLZ,1931,9,Natural,Meteorological,Storm,Belize,BLZ,Central America,Americas,Kph,1931,9.0,1931,9.0,5.2081262993983
1931-0005-ECU,1931,5,Natural,Hydrological,Landslide,Ecuador,ECU,South America,Americas,,1931,2.0,1931,2.0,5.2081262993983
1931-0010-HND,1931,10,Natural,Meteorological,Storm,Honduras,HND,Central America,Americas,Kph,1931,9.0,1931,9.0,5.2081262993983
1932-0006-CUB,1932,6,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1932,11.0,1932,11.0,4.6724984305324
1935-0009-BHS,1935,9,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1935,9.0,1935,9.0,4.6952911058033
1935-0008-CUB,1935,8,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1935,9.0,1935,9.0,4.6952911058033
1935-0012-HTI,1935,12,Natural,Meteorological,Storm,Haiti,HTI,Caribbean,Americas,Kph,1935,10.0,1935,10.0,4.6952911058033
1936-0006-CAN,1936,6,Natural,Meteorological,Extreme temperature,Canada,CAN,Northern America,Americas,Â°C,1936,7.0,1936,7.0,4.7522727939805
1939-0001-CHL,1939,1,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1939,1.0,1939,1.0,4.763669131616
1942-0001-ECU,1942,1,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1942,5.0,1942,5.0,5.5956017790036
1943-0010-CHL,1943,10,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1943,4.0,1943,4.0,5.9260955704314
1944-0011-CUB,1944,11,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1944,10.0,1944,10.0,6.0286626091504
1944-0002-ARG,1944,2,Natural,Geophysical,Earthquake,Argentina,ARG,South America,Americas,Richter,1944,1.0,1944,1.0,6.0286626091504
1945-0004-BHS,1945,4,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1945,9.0,1945,9.0,6.1654186607757
1946-0013-CHL,1946,13,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1946,8.0,1946,8.0,6.6782538543708
1946-0021-DOM,1946,21,Natural,Geophysical,Earthquake,Dominican Republic (the),DOM,Caribbean,Americas,Richter,1946,8.0,1946,8.0,6.6782538543708
1946-0018-CAN,1946,18,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1946,6.0,1946,6.0,6.6782538543708
1948-0013-BMU,1948,13,Natural,Meteorological,Storm,Bermuda,BMU,Northern America,Americas,Kph,1948,10.0,1948,10.0,8.2281557727913
1948-0027-BRA,1948,27,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1948,12.0,1948,12.0,8.2281557727913
1948-0025-CHL,1948,25,Natural,Geophysical,Volcanic activity,Chile,CHL,South America,Americas,,1948,10.0,1948,10.0,8.2281557727913
1948-0009-CUB,1948,9,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1948,9.0,1948,9.0,8.2281557727913
1948-0012-CUB,1948,12,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1948,10.0,1948,10.0,8.2281557727913
1949-0010-ECU,1949,10,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1949,8.0,1949,8.0,8.1483814093431
1949-0005-CHL,1949,5,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1949,4.0,1949,4.0,8.1483814093431
1949-0015-CHL,1949,15,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1949,12.0,1949,12.0,8.1483814093431
1949-0024-BRA,1949,24,Natural,Meteorological,Storm,Brazil,BRA,South America,Americas,Kph,1949,5.0,1949,5.0,8.1483814093431
1949-0002-COL,1949,2,Natural,Geophysical,Volcanic activity,Colombia,COL,South America,Americas,,1949,,1949,,8.1483814093431
1949-0012-GTM,1949,12,Natural,Hydrological,Flood,Guatemala,GTM,Central America,Americas,Km2,1949,10.0,1949,10.0,8.1483814093431
1950-0009-ATG,1950,9,Natural,Meteorological,Storm,Antigua and Barbuda,ATG,Caribbean,Americas,Kph,1950,9.0,1950,9.0,8.2395521104268
